====================================
Image credits list - mostly complete
====================================

Nr. Description         Author
214 Line pickaxe           (Hajo)
215 Line mace              (Hajo)
216 Line bow               (Hajo)
217 Line arrow             (Hajo)
218 Line armor             (Hajo)
219 Line hammer            (Hajo)
220 Line pike              (Hajo)
221 Line wand              (Hajo)
222 Line rod               (Hajo)
223 Line cloak             (Hajo)
224-231 Shop entrances     (Hajo)
232 Line broken bone       (Hajo)
233 Line bolts             (Hajo)
234 Line staff             (Hajo)
235 Line shield            (Hajo)
236 Line scimitar          (Hajo)
237 Line long sword        (Hajo)
238 Line crossbow          (Hajo)
239 Line sling             (Hajo)
240-257 9 part walls       (Hajo)
258 Line frog              (Hajo)
259 Line yeek              (Hajo)
260 Line kobold            (Hajo)
261 Line salamander        (Hajo)
262 Line worm mass         (Hajo)
263 Line harpy             (Hajo)
264 Humanoid skeleton      (Hajo)
265 Canine skeleton        (Hajo)
266 Rodent skeleton        (Hajo)
267-279 9 part walls       (Hajo)
280 Line dusty floor       (Hajo)
281 Line pebble ground     (Hajo)
282 Line rubble pile       (Hajo)
283 Spiral stairs down     (Hajo)
284 Spiral stairs up       (Hajo)
285 Line orc captain       (Maarten/Hajo)
286 Line lantern           (Hajo)
287 Line cat               (Hajo)
288 Line ghost             (Hajo)
289 Line hobbit            (Hajo)
290 Line louse             (Hajo)
291 Blubbering idiot       (Hajo)
292 Pitiful beggar         (Hajo)
293 Line killer beetle     (Hajo)
294 Line vortex            (Hajo)
295 Line dragon fly        (Hajo)
296 Line orc               (Maarten/Hajo)
297 Line street urchin     (Hajo)
298 Line painting pyramid  (Hajo)
299-307 9 part walls       (Hajo)
308 Line bush              (Hajo)
309 Line thicket           (Hajo)
310 Line tree              (Hajo)
311 Pyramid wall with text (Hajo)
312 Line grass             (Hajo)
313 Dirt/rough sand        (Hajo)
314 Line deep water        (Hajo)
315 Line bridge            (Hajo)
316 Line tiled floor       (Hajo)
317 Line shallow water     (Hajo)
318 Writing covered floor  (Hajo)
319 Town outside tile      (Hajo)

320 Line imp/small demon   (Hajo)
321 Line fairy (glowing)   (Hajo)

David:     David E. Gervais
Hajo:      Hansjörg Malthaner
Maarten:   Maarten Woxberg
Mitsuhiro: Mitsuhiro Itakura
MhZ:       Georg Heiduk
-----------------------------------------------------------------

Started by Hj. Malthaner, March 2001
Stuff added by M. Woxberg, 27-Mar-2001
Last update by Hj. Malthaner, 21-Aug-2010

-----------------------------------------------------------------

I hereby want to make my images available under the 
creative commons "Attribution - Share alike" license.

http://creativecommons.org/licenses/by-sa/3.0/deed.en

If you use the images, I'd like an attribution like this:
Artwork by Hj. Malthaner <hansjoerg.malthaner@gmx.de>

If you modify the images, please put it this way:
Based on artwork by Hj. Malthaner <hansjoerg.malthaner@gmx.de>

If in doubt, please contact me: hansjoerg.malthaner@gmx.de

-----------------------------------------------------------------
