WARRIOR/MAGE SPELLS -- Requirements, costs, and failures

Failure rate decreases 3% for each level beyond the minimum,
to a minimum of 5%.  High INT also reduces failure rate.

Life Warrior Mage:        Level  Mana  Fail
Teleport Level            39     38    80
Identify                  41     40    60
Teleport Away             43     42    70
Elemental Ball            45     44    66
Detection                 47     45    80
Word of Recall            48     65    70
Clairvoyance              50     140   80




