MAGE SPELLS -- Requirements, costs, and failures

For every level beyond the minimum, the failure rate decreases by 3%.
High INT or WIS will also decrease the failure rate.

Life Mage:           Level  Mana  Fail
Herbal Healing         40     100   95
Door Building          7      7     20
Stair Building         9      12    40
Stone Skin             10     12    75
Resistance True        15     20    85
Animal Friendship      30     30    90
Stone Tell             37     40    90
Wall of Stone          38     45    75
Corrosion Protection   40     90    90
Earthquake             20     18    60
Whirlwind Attack       23     23    80
Blizzard               25     25    75
Lightning Storm        30     27    75
Whirlpool              35     30    85
Call Sunlight          37     35    90
Elemental Brand        40     90    95
Nature's Wrath         40     75    65

Chaos Mage:            Level  Mana  Fail

Magic Missile          1      1     20
Trap/Door Destruction  1      2     22
Flash of Light         2      2     25
Touch of Confusion     5      5     30
Manaburst              9      6     50
Fire Bolt              13     9     45
Fist of Force          14     9     45
Teleport Self          15     9     35
Wonder                 17     10    25
Chaos Bolt             19     12    45
Sonic Boom             21     13    45
Doom Bolt              23     15    50
Fire Ball              25     16    50
Teleport Other         25     18    60
Word of Destruction    30     20    80
Invoke Logrus          35     40    85
Polymorph Other        11     7     45
Chain Lightning        15     15    80
Charging               16     14    80
Disintegration         25     25    85
Alter Reality          30     25    85
Polymorph Self         42     50    85
Chaos Branding         45     90    80
Summon Demon           47     100   90
Gravity Beam           20     20    66
Meteor Swarm           35     32    85
Flame Strike           37     34    75
Call Chaos             41     42    85
Magic Rocket           43     44    80
Mana Storm             45     48    85
Breathe Logrus         47     75    80
Call the Void          49     100   85

Death Mage:            Level  Mana  Fail

Detect Unlife          1      1     25
Malediction            2      2     25
Detect Evil            2      2     25
Stinking Cloud         3      3     27
Black Sleep            5      5     30
Resist Poison          7      10    75
Horrify                9      9     30
Enslave the Undead     10     10    30
Orb of Entropy         12     12    40
Nether Bolt            13     12    30
Terror                 18     15    50
Vampiric Drain         23     20    60
Poison Brand           30     75    50
Dispel Good            33     35    60
Genocide               37     25    95
Restore Life           45     50    95
Berserk                10     20    80
Invoke Spirits         10     15    80
Dark Bolt              11     11    30
Battle Frenzy          30     25    75
Vampirism True         33     35    60
Vampiric Branding      33     90    70
Darkness Storm         40     40    70
Mass Genocide          40     75    80
Death Ray              20     20    75
Raise the Dead         25     66    95
Esoteria               30     40    95
Word of Death          33     35    70
Evocation              37     35    80
Hellfire               42     120   95
Ommnicide              45     100   90
Wraithform             47     100   90

Trump Mage:            Level  Mana  Fail

Phase Door             1      1     50
Mind Blast             3      3     50
Shuffle                5      5     75
Reset Recall           6      6     80
Teleport Self          7      7     40
Dimension Door         9      9     60
Trump Spying           14     12    60
Teleport Away          17     15    60
Trump Object           20     20    80
Trump Animal           24     22    60
Phantasmal Servant     28     24    60
Trump Monster          30     25    70
Conjure Elemental      33     28    80
Teleport Level         35     30    70
Word of Recall         40     35    80
Banish                 42     40    70
Joker Card             15     15    80
Trump Spiders          24     24    70
Trump Reptiles         26     26    70
Trump Hounds           30     30    70
Trump Branding         35     70    80
Living Trump           40     100   90
Death Dealing          42     50    50
Trump Cyberdemon       45     100   90
Trump Divination       30     30    60
Trump Lore             35     50    90
Trump Undead           36     80    80
Trump Dragon           39     80    80
Mass Trump             42     100   80
Trump Demon            47     100   80
Trump Ancient Dragon   48     100   80
Trump Greater Undead   49     100   80

Arcane Mage:           Level  Mana  Fail

Zap                    1      1     20
Wizard Lock            1      1     33
Detect Invisibility    1      1     33
Detect Monsters        2      1     33
Blink                  2      2     33
Light Area             4      4     40
Trap+Door Destruction  5      5     33
Cure Light Wounds      6      5     44
Detect Doors & Traps   7      6     40
Phlogiston             8      8     60
Detect Treasure        9      8     50
Detect Enchantment     9      9     50
Detect Objects         9      9     50
Cure Poison            11     10    50
Resist Cold            12     12    50
Resist Fire            13     12    50
Resist Lightning       14     12    50
Resist Acid            15     12    50
Cure Medium Wounds     16     14    33
Teleport               18     15    50
Stone to Mud           20     16    60
Ray of Light           23     18    60
Satisfy Hunger         25     20    70
See Invisible          25     20    60
Recharging             28     25    70
Teleport Level         35     35    80
Identify               38     30    60
Teleport Away          40     30    66
Elemental Ball         41     30    66
Detection              42     30    80
Word of Recall         45     50    70
Clairvoyance           49     100   80



