PRIEST SPELLS -- Requirements, costs, and failures

For every level beyond the minimum, the failure rate decreases by 3%.
High INT or WIS will also decrease the failure rate.

Life Priest:              Level  Mana  Fail
Trump Object              22     22    80
Trump Animal              26     24    60
Phantasmal Servant        30     25    60
Trump Monster             32     30    70
Conjure Elemental         35     30    80
Teleport Level            38     35    70
Word of Recall            42     40    80
Banish                    45     45    70
Joker Card                17     17    80
Trump Spiders             27     25    70
Trump Reptiles            29     27    70
Trump Hounds              33     30    70
Trump Branding            38     75    80
Living Trump              41     110   90
Death Dealing             45     55    50
Trump Cyberdemon          49     125   90
Trump Divination          32     30    60
Trump Lore                38     55    90
Trump Undead              40     85    80
Trump Dragon              43     85    80
Mass Trump                46     110   80
Trump Demon               48     115   80
Trump Ancient Dragon      49     120   80
Trump Greater Undead      50     125   80

Arcane Priest:            Level  Mana  Fail

Zap                       1      1     20
Wizard Lock               1      1     33
Detect Invisibility       2      1     33
Detect Monsters           2      2     33
Blink                     3      3     33
Light Area                5      5     40
Trap+Door Destruction     6      6     33
Cure Light Wounds         7      6     44
Detect Doors & Traps      8      7     40
Phlogiston                9      8     60
Detect Treasure           10     9     50
Detect Enchantment        11     10    50
Detect Objects            12     11    50
Cure Poison               13     12    50
Resist Cold               14     13    50
Resist Fire               15     14    50
Resist Lightning          16     15    50
Resist Acid               17     16    50
Cure Medium Wounds        18     17    33
Teleport                  19     18    50
Stone to Mud              22     20    60
Ray of Light              24     22    60
Satisfy Hunger            27     24    70
See Invisible             29     26    60
Recharging                33     30    80
Teleport Level            37     36    80
Identify                  40     37    60
Teleport Away             42     38    70
Elemental Ball            44     39    66
Detection                 46     40    80
Word of Recall            47     55    70
Clairvoyance              50     120   80



