RANGER SPELLS -- Requirements, costs, and failures

The failure rate decreases 3% for every level beyond the minimum,
to a minimum of 5%.  High INT decreases the failure rate as well.

Sorcery Ranger:           Level  Mana  Fail
Trump Cyberdemon          XXXXXXXX
Trump Divination          35     33    60
Trump Lore                40     65    90
Trump Undead              XXXXXXXX
Trump Dragon              47     95    80
Mass Trump                50     120   80
Trump Demon               XXXXXXXX
Trump Ancient Dragon      XXXXXXXX
Trump Greater Undead      XXXXXXXX

Arcane Ranger:            Level  Mana  Fail

Zap                       3      2     20
Wizard Lock               3      2     33
Detect Invisibility       4      3     33
Detect Monsters           4      3     33
Blink                     5      4     33
Light Area                6      6     40
Trap+Door Destruction     7      7     33
Cure Light Wounds         8      8     44
Detect Doors & Traps      9      9     40
Phlogiston                10     10    60
Detect Treasure           11     11    50
Detect Enchantment        12     12    50
Detect Objects            14     13    50
Cure Poison               15     14    50
Resist Cold               16     15    50
Resist Fire               17     16    50
Resist Lightning          18     17    50
Resist Acid               19     18    50
Cure Medium Wounds        20     19    33
Teleport                  22     20    50
Stone to Mud              25     23    60
Ray of Light              27     26    60
Satisfy Hunger            29     27    70
See Invisible             33     30    60
Recharging                38     36    80
Teleport Level            42     38    80
Identify                  44     38    60
Teleport Away             46     40    70
Elemental Ball            47     42    66
Detection                 48     44    80
Word of Recall            49     65    70
Clairvoyance              XXXXXXXX




