HIGH MAGE SPELLS -- Requirements, costs, and failures

Life High Mage:           Level  Mana  Fail
Protection from Corrosion 37     65    80
Earthquake                15     15    50
Whirlwind Attack          20     20    50
Blizzard                  22     22    65
Lightning Storm           28     25    65
Whirlpool                 32     28    75
Call Sunlight             34     30    80
Elemental Brand           36     80    85
Nature's Wrath            39     65    55

Chaos High Mage:          Level  Mana  Fail

Magic Missile             1      1     15
Trap/Door Destruction     2      1     15
Flash of Light            2      1     15
Touch of Confusion        4      2     20
Manaburst                 6      4     40
Fire Bolt                 10     5     35
Fist of Force             12     6     35
Teleport Self             14     7     25
Wonder                    15     9     20
Chaos Bolt                17     10    35
Sonic Boom                19     11    35
Doom Bolt                 21     12    40
Fire Ball                 22     13    40
Teleport Other            23     15    50
Word of Destruction       27     17    70
Invoke Logrus             30     35    75
Polymorph Other           9      5     35
Chain Lightning           12     12    70
Charging                  14     12    70
Disintegration            21     21    75
Alter Reality             26     22    75
Polymorph Self            39     40    75
Chaos Branding            42     80    70
Summon Demon              44     90    80
Gravity Beam              16     16    55
Meteor Swarm              32     30    75
Flame Strike              34     32    65
Call Chaos                36     36    75
Magic Rocket              38     38    70
Mana Storm                40     45    75
Breathe Logrus            43     55    70
Call the Void             46     90    75

Death High Mage:          Level  Mana  Fail

Detect Unlife             1      1     20
Malediction               1      1     20
Detect Evil               2      1     20
Stinking Cloud            2      2     20
Black Sleep               3      3     20
Resist Poison             5      9     55
Horrify                   7      7     20
Enslave the Undead        8      8     20
Orb of Entropy            10     10    30
Nether Bolt               11     10    20
Terror                    14     12    40
Vampiric Drain            20     16    50
Poison Brand              26     65    40
Dispel Good               30     30    50
Genocide                  33     30    85
Restore Life              40     40    85
Berserk                   8      15    70
Invoke Spirits            8      10    70
Dark Bolt                 9      9     20
Battle Frenzy             25     20    65
Vampirism True            30     30    50
Vampiric Branding         30     80    60
Darkness Storm            36     35    60
Mass Genocide             38     66    70
Death Ray                 16     16    65
Raise the Dead            22     60    85
Esoteria                  26     35    85
Word of Death             29     30    60
Evocation                 33     30    70
Hellfire                  39     100   85
Ommnicide                 41     85    80
Wraithform                44     75    80

Trump High Mage:          Level  Mana  Fail

Phase Door                1      1     40
Mind Blast                2      2     40
Shuffle                   4      4     65
Reset Recall              5      5     70
Teleport Self             6      5     30
Dimension Door            7      7     50
Trump Spying              10     10    50
Teleport Away             14     12    50
Trump Object              16     16    70
Trump Animal              20     20    50
Phantasmal Servant        25     22    50
Trump Monster             28     24    60
Conjure Elemental         28     26    70
Teleport Level            30     28    60
Word of Recall            35     30    70
Banish                    39     36    60
Joker Card                11     11    70
Trump Spiders             21     21    60
Trump Reptiles            23     23    60
Trump Hounds              25     25    60
Trump Branding            31     65    70
Living Trump              36     90    80
Death Dealing             39     45    40
Trump Cyberdemon          42     90    80
Trump Divination          25     25    50
Trump Lore                32     45    80
Trump Undead              34     75    70
Trump Dragon              36     75    70
Mass Trump                38     90    70
Trump Demon               42     90    70
Trump Ancient Dragon      44     90    70
Trump Greater Undead      46     90    70

Arcane High Mage:         Level  Mana  Fail

Zap                       1      1     15
Wizard Lock               1      1     23
Detect Invisibility       1      1     23
Detect Monsters           1      1     23
Blink                     2      1     23
Light Area                3      2     33
Trap+Door Destruction     4      4     23
Cure Light Wounds         5      4     33
Detect Doors & Traps      6      5     30
Phlogiston                7      7     50
Detect Treasure           8      7     40
Detect Enchantment        8      8     40
Detect Objects            9      8     40
Cure Poison               10     9     40
Resist Cold               10     10    40
Resist Fire               11     10    40
Resist Lightning          12     10    40
Resist Acid               13     10    40
Cure Medium Wounds        14     11    22
Teleport                  15     12    40
Stone to Mud              17     15    50
Ray of Light              20     15    50
Satisfy Hunger            20     16    60
See Invisible             22     18    50
Recharging                24     22    60
Teleport Level            30     30    70
Identify                  33     28    50
Teleport Away             38     28    60
Elemental Ball            40     28    55
Detection                 41     28    70
Word of Recall            43     40    60
Clairvoyance              46     80    70





