Spoiler File -- Basic Items (ZAngband 2.2.3)


Description                                         Dam/AC    Wgt  Lev     Cost
     Great Scimitar                                    4d5   24.0   40      500
     Great Axe                                         4d4   23.0   40      500
     Lead-Filled Mace                                  3d4   18.0   15      502
     Tetsubo                                           2d7   19.0   25      570
     No-dachi                                          5d4   19.0   35      579
     Zweihander                                        4d6   28.0   40      580
     Two-Handed Flail                                  3d6   28.0   45      590
     Flamberge                                         3d7   23.0   40      600
     Claymore                                          2d8   20.0   40      600
     Espadon                                           2d9   20.0   40      600
     Dwarven Pick                                      1d4   20.0   50      600
     Heavy Lance                                       4d8   40.0   43      700
     Mattock                                           1d8   25.0   50      700
     Lochaber Axe                                      3d8   25.0   45      750
     Two-Handed Sword                                  3d6   20.0   30      775
     Scythe                                            5d3   25.0   45      800
     Executioner's Sword                               4d5   26.0   40      850
     Scythe of Slicing                                 8d4   25.0   60     3500
     Blade of Chaos                                    6d5   18.0   70     4000
     Mace of Disruption                                5d8   40.0   80     4300


Armour (Body)

     Filthy Rag                                          1    2.0    0        1
     Robe                                                2    2.0    1        4
     Soft Leather Armour                                 4    8.0    3       18
     Soft Studded Leather                                5    9.0    3       35
     Padded Armour                                       4    6.0    2       40
     Cord Armour                                         6    8.0    5       40
     Paper Armour                                        4    3.0    5       40
     Hard Leather Armour                                 6   10.0    5      150
     Hard Studded Leather                                7   11.0   10      200
     Rhino Hide Armour                                   8   11.0   15      400
     Leather Scale Mail                                 11   14.0   15      450
     Ring Mail                                          12   20.0   20      500
     Stone and Hide Armour                              15   20.0   35      500
     Leather Jacket                                     12   13.0   20      550
     Metal Scale Mail                                   13   25.0   25      550
     Rusty Chain Mail                                   14   20.0   25      550
     Double Ring Mail                                   15   23.0   25      700
     Chain Mail                                         14   22.0   25      750
     Double Chain Mail                                  16   25.0   30      850
     Augmented Chain Mail                               16   27.0   30      900
     Haramakido                                         17   28.0   32      920
     Bar Chain Mail                                     18   28.0   35      950
     Splint Mail                                        19   25.0   35      950
     Do-maru                                            20   29.0   40     1020
     Metal Brigandine Armour                            19   29.0   35     1100
     O-yoroi                                            24   32.0   45     1150
     Partial Plate Armour                               22   26.0   45     1200
     Metal Lamellar Armour                              23   34.0   45     1250
     Full Plate Armour                                  25   38.0   45     1350
     Ribbed Plate Armour                                28   38.0   50     1500
     Mithril Chain Mail                                 28   15.0   55     7000
     Mithril Plate Mail                                 35   30.0   60    15000
     Adamantite Plate Mail                              40   42.0   75    20000
     Bronze Dragon Scale Mail                           30   20.0   55    30000
     Black Dragon Scale Mail                            30   20.0   60    30000
     Blue Dragon Scale Mail                             30   20.0   40    35000
     White Dragon Scale Mail                            30   20.0   50    40000
     Gold Dragon Scale Mail                             30   20.0   65    40000
     Pseudo Dragon Scale Mail                           30   20.0   65    60000
     Chaos Dragon Scale Mail                            30   20.0   75    70000
     Green Dragon Scale Mail                            30   20.0   70    80000
     Law Dragon Scale Mail                              30   20.0   80    80000
     Red Dragon Scale Mail                              30   20.0   80   100000
     Balance Dragon Scale Mail                          30   20.0   90   100000
     Multi-Hued Dragon Scale Mail                       30   20.0  100   150000
     Power Dragon Scale Mail                            40   25.0  110   350000


Armour (Misc)

     Cloak                                               1    1.0    1        3
     Set of Leather Gloves                               1    0.5    1        3
     Pair of Soft Leather Boots                          2    2.0    3        7
     Hard Leather Cap                                    2    1.5    3       12
     Pair of Hard Leather Boots                          3    4.0    5       12
     Small Leather Shield                                2    5.0    3       30
     Metal Cap                                           3    2.0   10       30
     Set of Gauntlets                                    2    2.5   10       35
     Small Metal Shield                                  3    6.5   10       50
     Pair of Metal Shod Boots                            6    8.0   20       50
     Jingasa                                             4    3.0   16       60
     Iron Helm                                           5    7.5   20       75
     Set of Cesti                                        5    4.0   50      100
     Large Leather Shield                                4   10.0   15      120
     Large Metal Shield                                  5   12.0   30      200
     Steel Helm                                          6    6.0   40      200
     Fur Cloak                                           3    3.0   20      300
     Kabuto                                              7    8.0   50      300
     Iron Crown                                          0    2.0   45      500
     Golden Crown                                        0    3.0   45     1000
     Elven Cloak                                         4    0.5   30     1500
     Jewel Encrusted Crown                               0    4.0   50     2000
     Shadow Cloak                                        6    0.5   60     7500
     Dragon Helm                                         8    5.0   45    10000
     Shield of Deflection                               10   10.0   70    10000
     Dragon Shield                                       8   10.0   70    10000


Amulets

     Coral Amulet of Teleportation                            0.3   15        0
     Obsidian Amulet of DOOM                                  0.3   50        0
     Agate Amulet of Adornment                                0.3   15       20
     Ivory Amulet of Slow Digestion                           0.3   15      200
     Silver Amulet of Resist Acid                             0.3   20      300
     Bronze Amulet of Brilliance                              0.3   20      500
     Tortoise Shell Amulet of Charisma                        0.3   20      500
     Crystal Amulet of Searching                              0.3   30      600
     Amber Amulet of Anti-Teleportation                       0.3   30    15000
     Azure Amulet of Resistance                               0.3   50    25000
     Golden Amulet of Anti-Magic                              0.3   40    30000
     Brass Amulet of the Magi                                 0.3   50    30000
     Swastika Amulet of Reflection                            0.3   60    30000


Rings

     Bronze Ring of Teleportation                             0.2    5        0
     Tortoise Shell Ring of Weakness                          0.2    5        0
     Spikard Ring of Stupidity                                0.2    5        0
     Calcite Ring of Aggravate Monster                        0.2    5        0
     Granite Ring of Woe                                      0.2   50        0
     Beryl Ring of Levitation                                 0.2    5      200
     Rusty Ring of Searching                                  0.2    5      250
     Plain Ring of Slow Digestion                             0.2    5      250
     Ruby Ring of Resist Fire                                 0.2   10      250
     Emerald Ring of Resist Cold                              0.2   10      250
     Alexandrite Ring of Fear Resistance                      0.2   10      300
     Serpent Ring of See Invisible                            0.2   30      340
     Quartzite Ring of Protection                             0.2   10      500
     Pearl Ring of Damage                                     0.2   20      500
     Zircon Ring of Accuracy                                  0.2   20      500
     Bloodstone Ring of Strength                              0.2   30      500
     Sapphire Ring of Dexterity                               0.2   30      500
     Engagement Ring of Constitution                          0.2   30      500
     Silver Ring of Intelligence                              0.2   30      500
     Moonstone Ring of Sustain Charisma                       0.2   30      500
     Garnet Ring of Sustain Intelligence                      0.2   30      600
     Scarab Ring of Sustain Wisdom                            0.2   30      600
     Marble Ring of Sustain Strength                          0.2   30      750
     Corundum Ring of Sustain Constitution                    0.2   30      750
     Gold Ring of Sustain Dexterity                           0.2   30      750
     Aquamarine Ring of Slaying                               0.2   40     1000
     Opal Ring of Free Action                                 0.2   20     1500
     Malachite Ring of Confusion Resistance                   0.2   22     3000
     Quartz Ring of Nexus Resistance                          0.2   24     3000
     Obsidian Ring of Shard Resistance                        0.2   25     3000
     Amethyst Ring of Sound Resistance                        0.2   26     3000
     Wire Ring of Light and Darkness Resistance               0.2   30     3000
     Jade Ring of Flames                                      0.2   50     3000
     Brass Ring of Acid                                       0.2   50     3000
     Diamond Ring of Ice                                      0.2   50     3000
     Dilithium Ring of Blindness Resistance                   0.2   60     7500
     Platinum Ring of Chaos Resistance                        0.2   50    13000
     Adamantite Ring of Nether Resistance                     0.2   34    14500
     Transparent Ring of Disenchantment Resistance            0.2   90    15000
     Double Ring of Poison Resistance                         0.2   60    16000
     Bone Ring of Extra Attacks                               0.2   50   100000
     Tiger Eye Ring of Speed                                  0.2   80   100000
     Wedding Ring of Lordly Protection                        0.2  100   100000


Scrolls

     Scroll titled "oodturs po" of Summon Monster             0.5    1        0
     Scroll titled "yplech ivan" of Darkness                  0.5    1        0
     Scroll titled "viv flitre" of Aggravate Monster            0.5    5        0
     Scroll titled "arg riturs" of Trap Creation              0.5   10        0
     Scroll titled "omi potood" of Summon Undead              0.5   15        0
     Scroll titled "hala laeep gan" of Curse Weapon            0.5   50        0
     Scroll titled "plubul er evs" of Curse Armor             0.5   50        0
     Scroll titled "sa rhovsan o" of Rumour                   0.5    1       10
     Scroll titled "glensun nersna" of Satisfy Hunger            0.5    5       10
     Scroll titled "cresta tem" of Light                      0.5    0       15
     Scroll titled "monsa oxrea" of Treasure Detection            0.5    0       15
     Scroll titled "hydfri therju" of Object Detection            0.5    0       15
     Scroll titled "skidok anpo" of Phase Door                0.5    1       15
     Scroll titled "rogesh um" of Detect Invisible            0.5    1       15
     Scroll titled "bultue gop" of Blessing                   0.5    1       15
     Scroll titled "cos garsnik" of Monster Confusion            0.5    5       30
     Scroll titled "ashjah potsol" of Trap Detection            0.5    5       35
     Scroll titled "ab unicre nej" of Door/Stair Location            0.5    5       35
     Scroll titled "aksankh nihwed" of Magic Mapping            0.5    5       40
     Scroll titled "rogre ushu" of Teleportation              0.5   10       40
     Scroll titled "denbot ulkvly" of Holy Chant              0.5   10       40
     Scroll titled "bekhe ival it" of Identify                0.5    1       50
     Scroll titled "a bu prok bat" of Trap/Door Destruction            0.5   10       50
     Scroll titled "alather sunta" of Teleport Level            0.5   20       50
     Scroll titled "creban deruni" of Holy Prayer             0.5   25       80
     Scroll titled "od trolala" of Remove Curse               0.5   10      100
     Scroll titled "gan un sefaks" of Enchant Weapon To-Hit            0.5   15      125
     Scroll titled "la sno gan so" of Enchant Weapon To-Dam            0.5   15      125
     Scroll titled "forsat consne" of Enchant Armor            0.5   15      125
     Scroll titled "soprok whonbot" of Word of Recall            0.5    5      150
     Scroll titled "comp cos titi" of Recharging              0.5   40      200
     Scroll titled "itere eshish" of Dispel Undead            0.5   40      200
     Scroll titled "mung ri hydpo" of Protection from Evil            0.5   30      250
     Scroll titled "wunnes wexwah" of *Destruction*            0.5   40      250
     Scroll titled "iteder rhovip" of Rune of Protection            0.5   50      500
     Scroll titled "pobat blaabit" of *Enchant Weapon*            0.5   50      500
     Scroll titled "wedski eep" of *Enchant Armor*            0.5   50      500
     Scroll titled "barmur satpot" of Genocide                0.5   40      750
     Scroll titled "mikgop rok" of *Identify*                 0.5   30     1000
     Scroll titled "urblu prok re" of Fire                    0.5   50     1000
     Scroll titled "manbat gop nis" of Mass Genocide            0.5   50     1000
     Scroll titled "fooval sefeep" of Ice                     0.5   75     5000
     Scroll titled "wergjo ornbit" of *Remove Curse*            0.5   50     8000
     Scroll titled "inelg nepsat" of Logrus                   0.5  100    10000
     Scroll titled "conag erkpay" of Acquirement              0.5   20   100000
     Scroll titled "alaer vly" of *Acquirement*               0.5   60   200000
     Scroll titled "whonon crebek" of Artifact Creation            0.5   70   200000


Potions

     Red Potion of Sleep                                      0.4    0        0
     Indigo Potion of Blindness                               0.4    0        0
     Dark Red Potion of Booze                                 0.4    0        0
     Cloudy Potion of Salt Water                              0.4    0        0
     Chartreuse Potion of Slowness                            0.4    1        0
     Gloopy Green Potion of Weakness                          0.4    3        0
     Bubbling Potion of Poison                                0.4    3        0
     Gold Speckled Potion of Clumsiness                       0.4    5        0
     Coagulated Crimson Potion of Lose Memories               0.4   10        0
     Blue Speckled Potion of Sickliness                       0.4   10        0
     Sky Blue Potion of Stupidity                             0.4   20        0
     Smoky Potion of Naivety                                  0.4   20        0
     Violet Potion of Ugliness                                0.4   20        0
     Dark Green Potion of Ruination                           0.4   40        0
     Brown Speckled Potion of Death                           0.4   55        0
     Light Brown Potion of Apple Juice                        0.4    0        1
     Clear Potion of Water                                    0.4    0        1
     Icky Green Potion of Slime Mold Juice                    0.4    0        2
     Copper Speckled Potion of Boldness                       0.4    1       10
     Oily Black Potion of Cure Light Wounds                   0.4    0       15
     Light Blue Potion of Infra-vision                        0.4    3       20
     Magenta Potion of Slow Poison                            0.4    1       25
     Pink Potion of Resist Heat                               0.4    1       30
     Grey Speckled Potion of Resist Cold                      0.4    1       30
     Black Potion of Heroism                                  0.4    1       35
     Misty Potion of Cure Serious Wounds                      0.4    3       40
     Red Speckled Potion of Detect Invisible                  0.4    3       50
     Yellow Potion of Speed                                   0.4    1       75
     Metallic Blue Potion of Neutralize Poison                0.4    5       75
     Brown Potion of Berserk Strength                         0.4    3      100
     Manly Potion of Cure Critical Wounds                     0.4    5      100
     Green Potion of Curing                                   0.4   18      250
     Dark Blue Potion of Resistance                           0.4   20      250
     Purple Speckled Potion of Healing                        0.4   15      300
     Shimmering Potion of Restore Charisma                    0.4   20      300
     Oily Yellow Potion of Restore Strength                   0.4   25      300
     Metallic Green Potion of Restore Intelligence            0.4   25      300
     Yellow Speckled Potion of Restore Wisdom                 0.4   25      300
     White Potion of Restore Dexterity                        0.4   25      300
     Clotted Red Potion of Restore Constitution               0.4   25      300
     Pungent Potion of Restore Mana                           0.4   25      350
     Ichor Potion of Restore Life Levels                      0.4   40      400
     Vermilion Potion of Enlightenment                        0.4   25      800
     Silver Speckled Potion of Charisma                       0.4   20     1000
     Ivory White Potion of *Healing*                          0.4   40     1500
     Orange Potion of Self Knowledge                          0.4   40     2000
     Cyan Potion of Life                                      0.4   60     5000
     Metallic Purple Potion of Strength                       0.4   20     8000
     Azure Potion of Intelligence                             0.4   20     8000
     Tangerine Potion of Wisdom                               0.4   20     8000
     Green Speckled Potion of Constitution                    0.4   20     8000
     Gold Potion of Dexterity                                 0.4   20     8000
     Blue Potion of Detonations                               0.4   60    10000
     Pink Speckled Potion of Experience                       0.4   65    25000
     Purple Potion of Augmentation                            0.4   40    60000
     Orange Speckled Potion of *Enlightenment*                0.4   70    80000
     Violet Speckled Potion of Invulnerability                0.4   90   100000
     Puce Potion of New Life                                  0.4   50   750000


Food

     Red Mushroom of Blindness                                0.1    5        0
     Wrinkled Mushroom of Paranoia                            0.1    5        0
     White Mushroom of Confusion                              0.1    5        0
     Brown Mushroom of Poison                                 0.1    5        0
     Furry Mushroom of Hallucination                          0.1   10        0
     Light Green Mushroom of Weakness                         0.1   10        0
     Violet Mushroom of Sickness                              0.1   10        0
     White Spotted Mushroom of Stupidity                      0.1   15        0
     Green Mushroom of Naivety                                0.1   15        0
     Light Blue Mushroom of Paralysis                         0.1   20        0
     Hard Biscuit                                             0.2    0        1
     Pint of Fine Ale                                         0.5    0        1
     Strip of Venison                                         0.2    0        2
     Pint of Fine Wine                                        1.0    0        2
     Slime Mold                                               0.5    1        2
     Ration of Food                                           1.0    0        3
     Piece of Elvish Waybread                                 0.3    5       10
     Grey Mushroom of Cure Paranoia                           0.1   10       25
     Slimy Mushroom of Cure Blindness                         0.1   10       50
     Black Spotted Mushroom of Cure Confusion                 0.1   10       50
     Dark Blue Mushroom of Unhealth                           0.1   15       50
     Black Mushroom of Disease                                0.1   20       50
     Blue Mushroom of Cure Poison                             0.1   10       60
     Tan Mushroom of Cure Serious Wounds                      0.2   15       75
     Dark Red Mushroom of Restore Constitution                0.1   20      350
     Yellow Mushroom of Restore Strength                      0.1   20      350
     Dark Green Mushroom of Restoring                         0.1   20     1000


Rods

     Aluminum Rod of Trap Location                            1.5    5      100
     Copper Rod of Light                                      1.5   10      500
     Platinum Rod of Door/Stair Location                      1.5   15     1000
     Lead-Plated Rod of Illumination                          1.5   20     1000
     Aluminum-Plated Rod of Polymorph                         1.5   35     1200
     Mithril Rod of Teleport Other                            1.5   45     1400
     Zinc-Plated Rod of Slow Monster                          1.5   30     1500
     Steel-Plated Rod of Sleep Monster                        1.5   30     1500
     Gold-Plated Rod of Lightning Bolts                       1.5   20     2000
     Uridium Rod of Disarming                                 1.5   35     2100
     Nickel-Plated Rod of Frost Bolts                         1.5   25     2500
     Zinc Rod of Pesticide                                    1.5   20     3000
     Tin-Plated Rod of Fire Bolts                             1.5   30     3000
     Mithril-Plated Rod of Acid Bolts                         1.5   40     3500
     Hexagonal Rod of Drain Life                              1.5   75     3600
     Ivory Rod of Recall                                      1.5   30     4000
     Lead Rod of Probing                                      1.5   40     4000
     Zirconium Rod of Lightning Balls                         1.5   55     4000
     Gold Rod of Cold Balls                                   1.5   60     4500
     Brass Rod of Detection                                   1.5   30     5000
     Short Rod of Fire Balls                                  1.5   75     5000
     Silver-Plated Rod of Acid Balls                          1.5   70     5500
     Tin Rod of Enlightenment                                 1.5   65    10000
     Magnesium Rod of Perception                              1.5   50    13000
     Steel Rod of Curing                                      1.5   65    15000
     Bronze Rod of Healing                                    1.5   80    20000
     Tungsten Rod of Restoration                              1.5   80    25000
     Titanium Rod of Speed                                    1.5   95    50000
     Long Rod of Havoc                                        1.5   95   150000


Wands

     Titanium Wand of Heal Monster                            1.0    2        0
     Rusty Wand of Haste Monster                              1.0    2        0
     Zirconium Wand of Clone Monster                          1.0   15        0
     Uridium Wand of Trap/Door Destruction                    1.0   10      100
     Silver Wand of Magic Missile                             1.0    2      200
     Nickel Wand of Light                                     1.0    3      200
     Adamantite Wand of Wonder                                1.0    3      250
     Bronze Wand of Stone to Mud                              1.0   10      300
     Steel Wand of Teleport Other                             1.0   20      350
     Copper Wand of Stinking Cloud                            1.0    5      400
     Cast Iron Wand of Polymorph                              1.0   20      400
     Chromium Wand of Slow Monster                            1.0    5      500
     Zinc-Plated Wand of Confuse Monster                      1.0    5      500
     Gold Wand of Sleep Monster                               1.0    5      500
     Aluminum Wand of Scare Monster                           1.0   10      500
     Short Wand of Disarming                                  1.0   20      700
     Zinc Wand of Frost Bolts                                 1.0   20      800
     Molybdenum Wand of Acid Bolts                            1.0   30      950
     Mithril Wand of Fire Bolts                               1.0   30     1000
     Tin-Plated Wand of Lightning Balls                       1.0   35     1200
     Aluminum-Plated Wand of Drain Life                       1.0   50     1200
     Steel-Plated Wand of Tame Monster                        1.0   30     1500
     Platinum Wand of Cold Balls                              1.0   40     1500
     Iron Wand of Acid Balls                                  1.0   50     1650
     Mithril-Plated Wand of Fire Balls                        1.0   50     1800
     Brass Wand of Dragon's Flame                             1.0   50     2400
     Ivory Wand of Dragon's Frost                             1.0   50     2400
     Tin Wand of Dragon's Breath                              1.0   60     2400
     Nickel-Plated Wand of Annihilation                       1.0   60     3000
     Copper-Plated Wand of Rockets                            1.0   75    95000


Staffs

     Eucalyptus Staff of Darkness                             5.0    5        0
     Cypress Staff of Summoning                               5.0   10        0
     Silver Staff of Haste Monsters                           5.0   10        0
     Ironwood Staff of Slowness                               5.0   40        0
     Aspen Staff of Treasure Location                         5.0    5      200
     Maple Staff of Object Location                           5.0    5      200
     Oak Staff of Detect Invisible                            5.0    5      200
     Pine Staff of Light                                      5.0    5      250
     Golden Staff of Cure Light Wounds                        5.0    5      350
     Banyan Staff of Trap Location                            5.0   10      350
     Spruce Staff of Door/Stair Location                      5.0   10      350
     Bamboo Staff of Detect Evil                              5.0   20      350
     Locust Staff of Earthquakes                              5.0   40      350
     Mahogany Staff of Perception                             5.0   10      400
     Hemlock Staff of Remove Curse                            5.0   40      500
     Cottonwood Staff of Sleep Monsters                       5.0   10      700
     Sycamore Staff of Enlightenment                          5.0   20      750
     Mistletoe Staff of Slow Monsters                         5.0   10      800
     Balsa Staff of Starlight                                 5.0   20      800
     Runed Staff of Curing                                    5.0   25     1000
     Teak Staff of Speed                                      5.0   40     1000
     Hawthorn Staff of Dispel Evil                            5.0   50     1200
     Hickory Staff of Teleportation                           5.0   20     2000
     Birch Staff of Probing                                   5.0   30     2000
     Walnut Staff of *Destruction*                            5.0   50     2500
     Elm Staff of Genocide                                    5.0   70     3500
     Dogwood Staff of Power                                   5.0   70     4000
     Rosewood Staff of the Magi                               5.0   70     4500
     Mulberry Staff of Holiness                               5.0   70     4500
     Redwood Staff of Healing                                 5.0   70     5000


Books (Life)

     Life Spellbook [Book of Common Prayer]                   3.0   10      100
     Life Spellbook [High Mass]                               3.0   20     1000
     Life Spellbook [Book of the Unicorn]                     3.0   40    25000
     Life Spellbook [Blessings of the Grail]                  3.0   90   100000


Books (Sorcery)

     Sorcery Spellbook [Beginner's Handbook]                  3.0   10      100
     Sorcery Spellbook [Master Sorcerer's Handbook]            3.0   20     1000
     Sorcery Spellbook [Pattern Sorcery]                      3.0   40    25000
     Sorcery Spellbook [Grimoire of Power]                    3.0   90   100000


Books (Nature)

     Nature Spellbook [Call of the Wild]                      3.0   10      100
     Nature Spellbook [Nature Mastery]                        3.0   20     1000
     Nature Spellbook [Nature's Gifts]                        3.0   50    25000
     Nature Spellbook [Nature's Wrath]                        3.0   80   100000


Books (Chaos)

     Chaos Spellbook [Sign of Chaos]                          3.0   10      100
     Chaos Spellbook [Chaos Mastery]                          3.0   20     1000
     Chaos Spellbook [Chaos Channels]                         3.0   50    25000
     Chaos Spellbook [Armageddon Tome]                        3.0  100   100000


Books (Death)

     Death Spellbook [Black Prayers]                          3.0   10      100
     Death Spellbook [Black Mass]                             3.0   20     1000
     Death Spellbook [Black Channels]                         3.0   50    25000
     Death Spellbook [Necronomicon]                           3.0   90   100000


Books (Trump)

     Trump Spellbook [Conjurings & Tricks]                    3.0   10      100
     Trump Spellbook [Deck of Many Things]                    3.0   20     1000
     Trump Spellbook [Trumps of Doom]                         3.0   40    25000
     Trump Spellbook [Five Aces]                              3.0   90   100000


Books (Arcane)

     Arcane Spellbook [Cantrips for Beginners]                3.0   10      100
     Arcane Spellbook [Minor Arcana]                          3.0   20      250
     Arcane Spellbook [Major Arcana]                          3.0   10     1000
     Arcane Spellbook [Manual of Mastery]                     3.0   20     2500


Chests

     Ruined chest                                            25.0    0        0
     Small wooden chest                                      25.0    5       20
     Large wooden chest                                      50.0   15       60
     Small iron chest                                        30.0   25      100
     Large iron chest                                       100.0   35      150
     Small steel chest                                       50.0   45      200
     Large steel chest                                      100.0   55      250


Various

     Shard of Pottery                                         0.5    0        0
     Broken Stick                                             0.3    0        0
     Broken Skull                                             0.1    0        0
     Broken Bone                                              0.2    0        0
     Canine Skeleton                                          1.0    1        0
     Rodent Skeleton                                          1.0    1        0
     Human Skeleton                                           6.0    5        0
     Dwarf Skeleton                                           5.0    5        0
     Elf Skeleton                                             4.0    5        0
     Gnome Skeleton                                           3.0    5        0
     Empty Bottle                                             0.2    0        1
     Iron Spike                                               1.0    1        1
     Wooden Torch                                             3.0    1        2
     Flask of oil                                             1.0    1        3
     Brass Lantern                                            5.0    3       35
